songId,clipId,songNumberOfClips,artist,title,secondsSlice,duration,arousalAvg,arousalStd,valenceAvg,valenceStd
4,4_1,2,Kevin MacLeod,Slow Burn,15.0-25.0,10.0,0.1766,0.012,0.1188,0.036
4,4_2,2,Kevin MacLeod,Slow Burn,30.0-45.0,15.0,0.2931,0.0157,0.1939,0.02
8,8_1,2,Kevin MacLeod,Dirt Rhodes,15.0-30.0,15.0,-0.1331,0.0095,-0.007,0.0295
8,8_2,2,Kevin MacLeod,Dirt Rhodes,30.0-45.0,15.0,-0.1299,0.0201,0.0028,0.0099
102,102_1,1,Marisa Anderson,Electricity,15.0-30.0,15.0,0.3246,0.0199,0.1342,0.011
119,119_1,1,Amen Dunes,Ethio Song,15.0-30.0,15.0,-0.0434,0.011,-0.1449,0.0151
127,127_1,2,Evgeny Grinko,Sunset,15.0-30.0,15.0,-0.455,0.0106,0.103,0.0262
127,127_2,2,Evgeny Grinko,Sunset,30.0-45.0,15.0,-0.4874,0.0088,0.1566,0.0179
128,128_1,2,Fabrizio Paterlini,Veloma,15.0-30.0,15.0,-0.328,0.017,-0.219,0.0121
128,128_2,2,Fabrizio Paterlini,Veloma,30.0-45.0,15.0,-0.3062,0.0078,-0.2441,0.0086
129,129_1,2,Oskar Schuster,Sneeuwland,15.0-30.0,15.0,-0.0855,0.008,0.2967,0.0128
129,129_2,2,Oskar Schuster,Sneeuwland,30.0-45.0,15.0,-0.1073,0.0155,0.2914,0.0126
134,134_1,1,Dexter Britain,Summers Coming,15.0-30.0,15.0,-0.0058,0.0252,0.1196,0.0209
149,149_1,2,Kevin MacLeod,Gagool,15.0-25.0,10.0,-0.1438,0.0125,-0.2742,0.0299
149,149_2,2,Kevin MacLeod,Gagool,25.0-40.0,15.0,-0.141,0.0212,-0.3461,0.0221
152,152_1,1,Dexter Britain,The Tea Party,20.0-35.0,15.0,-0.057,0.0225,-0.0215,0.0209
153,153_1,2,Evgeny Grinko,Blizzard,15.0-30.0,15.0,-0.0175,0.0199,0.0272,0.0306
153,153_2,2,Evgeny Grinko,Blizzard,30.0-40.0,10.0,-0.078,0.0234,0.0716,0.0305
157,157_1,2,Jamie Evans,Opening Doors,15.0-25.0,10.0,-0.2382,0.0027,0.3181,0.0029
157,157_2,2,Jamie Evans,Opening Doors,30.0-45.0,15.0,-0.2646,0.0108,0.2967,0.0128
158,158_1,1,Peter Rudenko,5 00 AM,15.0-30.0,15.0,-0.4114,0.0109,-0.2165,0.0198
168,168_1,2,Kevin MacLeod,Funeral March for Brass,15.0-30.0,15.0,-0.1491,0.0209,-0.205,0.0347
168,168_2,2,Kevin MacLeod,Funeral March for Brass,30.0-40.0,10.0,-0.1673,0.0299,-0.2119,0.0188
171,171_1,1,Chris Zabriskie,That Kid in Fourth Grade Who Really Liked the Denver Broncos,20.0-35.0,15.0,-0.4442,0.0189,-0.1845,0.014
172,172_1,1,Chris Zabriskie,The Temperature of the Air on the Bow of the Kaleetan,15.0-30.0,15.0,-0.1763,0.015,-0.0103,0.0166
174,174_1,1,Jamie Evans,War And Peace,30.0-45.0,15.0,-0.1285,0.0066,-0.3514,0.0203
179,179_1,2,Dexter Britain,The Time To Run,15.0-25.0,10.0,0.0871,0.0052,0.2039,0.0125
179,179_2,2,Dexter Britain,The Time To Run,30.0-45.0,15.0,0.1299,0.0064,0.3196,0.0074
185,185_1,1,Kevin MacLeod,Ghost Dance,15.0-30.0,15.0,-0.2733,0.0227,-0.17,0.0241
187,187_1,2,Evgeny Grinko,Other Child Room,15.0-30.0,15.0,-0.6372,0.0078,-0.2369,0.0191
187,187_2,2,Evgeny Grinko,Other Child Room,30.0-45.0,15.0,-0.6514,0.0057,-0.2645,0.0134
190,190_1,1,Kevin MacLeod,Virtutes Instrumenti,15.0-30.0,15.0,-0.3065,0.0169,-0.2577,0.0133
191,191_1,1,Kimiko Ishizaka,Variatio 14 a 2 Clav,20.0-35.0,15.0,0.096,0.0122,0.3254,0.019
194,194_1,2,Jamie Evans,Reminiscence,15.0-30.0,15.0,-0.3864,0.0126,-0.1032,0.0146
194,194_2,2,Jamie Evans,Reminiscence,30.0-45.0,15.0,-0.3511,0.0148,-0.1,0.0205
201,201_1,2,Circus Marcus,Les crocodiles mangent aussi les bonshommes Wizzards,15.0-30.0,15.0,-0.2019,0.0036,0.2012,0.0105
201,201_2,2,Circus Marcus,Les crocodiles mangent aussi les bonshommes Wizzards,30.0-45.0,15.0,-0.1802,0.0149,0.1871,0.0185
205,205_1,2,Chris Zabriskie,Prelude No,15.0-25.0,10.0,-0.4356,0.0075,-0.0887,0.0126
205,205_2,2,Chris Zabriskie,Prelude No,30.0-45.0,15.0,-0.4223,0.0168,-0.0922,0.0127
211,211_1,2,Dexter Britain,After Christmas,15.0-25.0,10.0,-0.1814,0.0076,0.1105,0.0034
211,211_2,2,Dexter Britain,After Christmas,25.0-40.0,15.0,-0.268,0.0213,0.0584,0.0182
