Set,Nro,Filename,FoundByAPI,Title,Artist,SpotifyId,Valence,Arousal
1,53,1_053,1,The Stranger,James Horner,42cxGI452dmBWVdjdefkUC,-0.15,-0.7
2,73,2_073,1,Hirschfelder: Scales to America,David Hirschfelder,6Vrffbt1FVwsVm3IoqaO6G,0.4775,0.78
1,198,1_198,1,The New Ambassador,Jerry Goldsmith,3ZNSFAZ1Joi7pqkMomb2Yb,0.15,-0.2
1,354,1_354,1,Grizzly Man,Richard Thompson,,0.125,-0.2925
1,68,1_068,1,The Farm,Thomas Newman,30XPjUloKwMq0KaQhAB2cJ,0.4,-0.45
1,267,1_267,1,Main Titles,James Newton Howard,6LMO5HYYaFrPt6DUh7P2dp,-0.5,-0.1
1,123,1_123,1,The Battle,Gavin Greenaway,3AJIBxlIwidQfRFWbubGzf,-0.65,0.35
1,319,1_319,1,A Wedding Interrupted,Yo-Yo Ma,0cRYQy1Kf7QIg0I3a96HN3,-0.55,0.3
1,90,1_090,1,"Shallow Grave, Deep Depression",Simon Boswell,,0.0425,-0.5
1,199,1_199,0,Missä olen,Leevi Madetoja,,0.125,0.0425
1,286,1_286,1,The Fall,Jerry Goldsmith,5GFB9oASdt8DoF3teVOU1i,-0.4575,-0.6675
1,238,1_238,1,Through the Bamboo Forest,Yo-Yo Ma,5rcuh2Rj16fRgddYW6CuWG,-0.625,-0.0425
1,327,1_327,1,Sorrow,Yo-Yo Ma,2TNpKu6b26NAZSpCEsT2Rf,-0.4575,-0.0425
1,231,1_231,1,The Lair (Pt. II),Batman Returns Soundtrack/Danny Elfman,23CjxOfewI12NUJYA1mpfg,-0.75,-0.55
2,13,2_013,1,The Conspirators,John Williams,,-0.4525,0.525
2,70,2_070,1,Big Racket,Richard Thompson,,-0.74,-0.115
1,167,1_167,1,Dirty Money,Thomas Newman,0O0YjABWgrLbVpdPshLaBc,-0.4575,0.2075
1,272,1_272,1,Marianelli: The Living Sculptures Of Pemberley,English Chamber Orchestra,1tUCjdYuz3uByUGB4rnKgW,0.125,-0.9175
1,304,1_304,1,Uncle Frank,Christopher Young,,-0.7,0.2
2,59,2_059,1,Love Music,"Sinfonia of London, conducted by Muir Mathieson",1TUNj0y6W6oHQZE2xKHFj8,0.4225,0.3325
1,193,1_193,0,Prologue - JFK,John Williams,,0.25,0.0425
1,7,1_007,1,"Cleve and his Mule - Scherzo (From ""How The West Was Won"")",The City of Prague Philharmonic Orchestra,3qcGMnBOMfldUmazYExz8E,0.1,0.3
2,27,2_027,1,Oliver Learns the Hard Way,Rachel Portman,0kYHR83O3FAVjc94L481Cd,0.6875,0.77
1,42,1_042,1,Death Theme,Ennio Morricone,44i4j1IxbokCD98K4Cxa6n,0.2,-0.7
1,200,1_200,1,The Eternal Vow,Yo-Yo Ma,1tcRIidHvFbJ5JeNUidOU0,0.125,-0.5425
1,211,1_211,1,Spectres In The Fog,Hans Zimmer(한스 짐머),3UXgrPK7wtsBaJr1QKjz3G,-1.0,-0.2075
2,15,2_015,1,Zimmer: Dear Clarice,Anthony Hopkins,7aucGaATahSA01lWdltQvM,-0.6725,0.2825
1,101,1_101,1,Loft Conversion,Simon Boswell,,-0.625,-0.3325
1,48,1_048,1,The Farm,Thomas Newman,30XPjUloKwMq0KaQhAB2cJ,0.25,-0.7925
2,37,2_037,1,Flowers,Danny Elfman,5ITTcBNXEXhuMwUPOMG691,-0.0525,-0.28
2,41,2_041,1,"Hirschfelder: Tell Me a Story, Katharine",David Hirschfelder,3vpUKfIGw17TTIONPoZ5mW,0.5675,-0.2875
1,350,1_350,1,Koolen,Eric Serra,2Lfc3g44CsdfSXzRAlOXAq,0.125,-0.7075
1,25,1_025,1,Sandra's Theme,Danny Elfman,3mgold6ewwxg2DqI4m2Tqv,-0.1,-0.1
2,1,2_001,1,Armour Piercing Bullets,Michael Kamen,,-0.61,0.6825
1,155,1_155,1,Kelly,Elmer Bernstein,,-0.5,-0.5
1,77,1_077,1,"Overture (From ""Diary Of Anne Frank"")",The City of Prague Philharmonic Orchestra,,0.375,-0.1675
1,248,1_248,0,Tremolo,Tuomas Kantelinen,,-0.35,0.3
1,15,1_015,1,End Titles,Danny Elfman,1OTwyRrhVYJ5KRtgfow3K6,0.2075,-0.2075
1,8,1_008,1,Vray Dieu d'Amours,Barrington Pheloung,,0.0,0.05
1,223,1_223,1,"Parliament of Dreams, Pt. 3",Christopher Franke,,-0.875,0.2075
